Ensembl_ID	Gene_symbol	logFC	FDR	Comparison	LncBook ID	Type	Conservation	miRNA	GWAS	nearest PC	Top correlated gene
ENSG00000290989	ENSG00000290989	2.064523647	0.000907848	Normal vs Doxo_PDL1-pos	HSALNG0010926	integenic	Not conserved	NA	-	FBXO28	SLC7A9
ENSG00000250903	GMDS-DT	1.320195691	0.00140855	Normal vs Doxo_PDL1-pos	HSALNG0047439	integenic	Q75	hsa-miR-1182,hsa-miR-1285-3p,hsa-miR-4463,hsa-miR-6089	Body height,Factor vii activating protease measurement,Pulse pressure measurement; Tuberculosis,Response to tyrosine kinase inhibitor,Upper face morphology measurement; Erythrocyte count,Heel bone mineral density,Mean corpuscular hemoglobin,Abnormality of refraction; Fish consumption measurement,Cortical surface area measurement,Synophrys measurement,Reticulocyte count; Reticulocyte measurement,Reticulocyte count; Red blood cell distribution width,Orthostatic hypotension; Vital capacity; Heel bone mineral density,Creatinine measurement; Reticulocyte measurement,Reticulocyte count,Red blood cell distribution width,Erythrocyte count,Offspring mortality measurement,Unipolar depression,Hematocrit; Hemoglobin measurement; Erythrocyte count,Cystatin c measurement,P wave terminal force measurement,Age at onset; Refractive error; Myopia,-	WRNIP1	NDUFS1
ENSG00000234936	ENSG00000234936	2.866807807	0.014589849	Normal vs Doxo_PDL1-pos	HSALNG0014530	anti_sense	Q75	hsa-miR-663a,hsa-miR-4685-3p,hsa-miR-4749-3p,hsa-miR-6819-3p,hsa-miR-8485,hsa-miR-10392-3p	Neutrophil count; Intraocular pressure measurement; Creatinine measurement; Appendicular lean mass; Bmi-adjusted waist-hip ratio; Reticulocyte measurement,Bmi-adjusted waist-hip ratio; Myocardial infarction,-	PLEKHH2	SLC4A7
ENSG00000225138	SLC9A3-AS1	1.241956976	0.000135933	Normal vs Doxo_PDL1-pos	HSALNG0039449	anti_sense	Q75	hsa-miR-762,hsa-miR-541-3p,hsa-miR-4279,hsa-miR-3619-5p,hsa-miR-4505,hsa-miR-4508,hsa-miR-4632-3p,hsa-miR-1343-5p,hsa-miR-4722-5p,hsa-miR-4749-3p,hsa-miR-5787,hsa-miR-6132,hsa-miR-6720-3p,hsa-miR-6747-5p,hsa-miR-6873-3p	-,Hemoglobin measurement	EXOC3	TUBG2
ENSG00000287021	ENSG00000287021	4.67096925	0.009749425	Normal vs Doxo_PDL1-pos	HSALNG0037019	anti_sense	Q50	hsa-miR-1224-3p,hsa-miR-4505,hsa-miR-5589-5p	Serum igg glycosylation measurement,Mean corpuscular volume,Mean reticulocyte volume,Susceptibility to rubella infection measurement,Mean corpuscular volume; Mean corpuscular hemoglobin; Mean corpuscular hemoglobin concentration,Trans fatty acid measurement; Trans/trans-18:2 fatty acid measurement,-	MFSD8	CDH10
ENSG00000233452	STXBP5-AS1	1.640154394	7.89e-06	Normal vs Doxo_PDL1-pos	HSALNG0054147	anti_sense	Q90	hsa-miR-4745-5p	Beta-aminoisobutyric acid measurement,Lip morphology measurement,Adhd symptom measurement,Protein measurement,-	SHPRH	WDR37
ENSG00000231312	MAP4K3-DT	1.839806391	7.18e-16	Normal vs Doxo_PDL1-pos	HSALNG0014372	anti_sense,sense	Q50	hsa-miR-619-5p,hsa-miR-4447,hsa-miR-6089,hsa-miR-8485	Hematocrit; Hemoglobin measurement,Hematocrit; Erythrocyte count,Hematocrit,Hemoglobin measurement,Red blood cell density measurement,Response to candesartan,-	TMEM178A	RRM2B
ENSG00000290418	TPTEP1	2.443172574	1.29e-05	Normal vs Doxo_PDL1-pos	HSALNG0133819	integenic	Not conserved	NA	-	IL17RA	LTBP1
ENSG00000287917	ENSG00000287917	2.799292423	1.63e-11	Normal vs Doxo_PDL1-pos	HSALNG0084879	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-3620-3p,hsa-miR-6089,hsa-miR-6803-5p	-	SLC25A45	COL23A1
ENSG00000290960	ENSG00000290960	1.779572688	5.6e-11	Normal vs Doxo_PDL1-pos	NA	NA	NA	NA	NA	ART1	COL23A1
ENSG00000260257	ENSG00000260257	-1.053410765	0.034674947	Normal vs Doxo_PDL1-pos	HSALNG0129600	integenic	Not conserved	NA	Attention deficit hyperactivity disorder,-	EFCAB8	FAM168A
ENSG00000260448	LCMT1-AS1	-1.635440613	0.021226891	Normal vs Doxo_PDL1-pos	HSALNG0110334	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-3620-5p,hsa-miR-4467,hsa-miR-1587,hsa-miR-3960,hsa-miR-7108-3p	-	ARHGAP17	PRDM1
ENSG00000275367	ENSG00000275367	1.590087408	0.005080958	Normal vs Doxo_PDL1-pos	HSALNG0089050	anti_sense,sense	Not conserved	hsa-miR-6769b-3p	-	ZNF705A	PSD
ENSG00000272444	ENSG00000272444	4.487135814	0.017366171	Normal vs Doxo_PDL1-pos	HSALNG0103867	sense	Not conserved	hsa-miR-363-5p,hsa-miR-6089,hsa-miR-7160-3p	Body mass index,-,Age at menopause	DYNC1H1	GNA15
ENSG00000291003	ENSG00000291003	1.135634575	8.95e-05	Normal vs Doxo_PDL1-pos	HSALNG0104483	integenic	Not conserved	NA	NA	GOLGA6L22	TNK2
ENSG00000262003	ENSG00000262003	-2.036809029	0.000111628	Normal vs Doxo_PDL1-pos	HSALNG0113768	anti_sense	Q75	hsa-miR-198,hsa-miR-1268b,hsa-miR-6089,hsa-miR-6090	Colorectal cancer,Colorectal cancer; Colorectal adenoma,Response to paliperidone; Schizophrenia symptom severity measurement,-	TIMM22	U2AF2
ENSG00000235180	LINC00601	1.943543452	0.025800542	Normal vs Doxo_PDL1-pos	HSALNG0081449	integenic	Q50	hsa-miR-3657	-	C10orf90	SLC9A3R2
ENSG00000291029	FKBP9P1	1.183233502	0.003659689	Normal vs Doxo_PDL1-pos	HSALNG0058201	integenic	Not conserved	NA	-	SEPTIN14	OAT
ENSG00000288929	ENSG00000288929	5.075300702	6.45e-09	Normal vs Doxo_PDL1-pos	HSALNG0114346	integenic	Q90	NA	NA	NAA38	SEC61A2
ENSG00000237605	DYRK3-AS1	2.85395046	0.028987031	Normal vs Doxo_PDL1-pos	HSALNG0010037	anti_sense	Q50	hsa-miR-149-3p,hsa-miR-1224-3p,hsa-miR-4297,hsa-miR-4492,hsa-miR-4749-3p,hsa-miR-6763-5p	-	EIF2D	REEP1
ENSG00000290032	ENSG00000290032	1.943145808	1.08e-10	Normal vs Doxo_PDL1-pos	NA	NA	NA	NA	NA	H2BC11	PPP2R5B
ENSG00000248429	GASK1B-AS1	2.745915637	6.62e-11	Normal vs Doxo_PDL1-pos	HSALNG0038152	anti_sense,sense	Q50	hsa-miR-486-3p,hsa-miR-4466	Blood osmolality measurement,-	TMEM144	ABCC9
ENSG00000285774	SAMD4A-AS1	4.532828309	0.011163775	Normal vs Doxo_PDL1-pos	HSALNG0101421	anti_sense	Not conserved	hsa-miR-4492	Platelet crit,Sleep quality,Maximal midexpiratory flow rate,Cerebral amyloid deposition measurement,Creatine kinase measurement,Heel bone mineral density,-	GCH1	FGF22
ENSG00000286013	ENSG00000286013	-2.301941149	0.000551339	Normal vs Doxo_PDL1-pos	HSALNG0060382	anti_sense	Not conserved	NA	Response to serotonin-norephinephrine reuptake inhibitor,Mortality,Valine measurement,Multiple myeloma,-	PIK3CG	JMJD6
ENSG00000272969	ENSG00000272969	4.340024614	0.015330043	Normal vs Doxo_PDL1-pos	HSALNG0034543	anti_sense	Q50	hsa-miR-4508	-	TMEM165	ABCB11
ENSG00000230699	ENSG00000230699	-2.239472338	0.006886671	Normal vs Doxo_PDL1-pos	HSALNG0000051	integenic	Not conserved	hsa-miR-361-3p,hsa-miR-619-5p,hsa-miR-4710,hsa-miR-6736-5p,hsa-miR-7110-5p	-	SAMD11	MAP3K13
ENSG00000224086	PPM1F-AS1	-1.01180166	0.038633996	Normal vs Doxo_PDL1-pos	HSALNG0134272	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-6808-5p	Attention deficit hyperactivity disorder,Age at menopause,Macrophage inflammatory protein 1b measurement,-	PPIL2	CA12
ENSG00000260190	ENSG00000260190	-1.797471876	0.032001383	Normal vs Doxo_PDL1-pos	HSALNG0075323	integenic	Not conserved	NA	NA	FBXW5	PIAS2
ENSG00000249378	LINC01060	3.436879163	0.003784995	Normal vs Doxo_PDL1-pos	HSALNG0148256	integenic	Not conserved	NA	NA	TRIML1	MCCC1
ENSG00000253141	ENSG00000253141	4.340163305	0.015330043	Normal vs Doxo_PDL1-pos	HSALNG0046692	integenic	Q50	hsa-miR-198,hsa-miR-665,hsa-miR-4435,hsa-miR-4446-3p,hsa-miR-4505,hsa-miR-5787,hsa-miR-6728-3p	Antipsychotic drug related weight gain,Stroke,Cognitive function measurement,Prostate carcinoma; Cytokine measurement,Peripheral arterial disease; Traffic air pollution measurement,Mosquito bite reaction size measurement; Mosquito bite reaction itch intensity measurement,Oral cleft,Cleft lip; Cleft palate,Body height,Bmi-adjusted hip circumference,Adiponectin measurement,-	BNIP1	ZCWPW1
ENSG00000249464	LINC01091	4.129602361	0.030406989	Normal vs Doxo_PDL1-pos	HSALNG0036905	integenic	Not conserved	NA	NA	SPRY1	ITM2A
ENSG00000248994	ENSG00000248994	3.297840561	0.015617092	Normal vs Doxo_PDL1-pos	HSALNG0039626	integenic	Q90	NA	Protein measurement	NDUFS6	RIMS1
ENSG00000289385	ENSG00000289385	3.403820795	8.91e-05	Normal vs Doxo_PDL1-pos	NA	NA	NA	NA	NA	HES1	RIMS1
ENSG00000182057	OGFRP1	-1.103254078	0.039619503	Normal vs Doxo_PDL1-pos	HSALNG0135698	anti_sense	Q50	hsa-miR-4492	Depressive symptom measurement,Interleukin 1 receptor antagonist measurement,Mental or behavioural disorder,Protein measurement,Chronotype measurement; Smoking status measurement,-	SMDT1	ZNF506
ENSG00000224596	ZMIZ1-AS1	1.391212122	0.011756194	Normal vs Doxo_PDL1-pos	HSALNG0079114	anti_sense	Q50	hsa-miR-762,hsa-miR-939-3p,hsa-miR-3195,hsa-miR-4430,hsa-miR-4447,hsa-miR-4472,hsa-miR-4516,hsa-miR-4534,hsa-miR-3960,hsa-miR-6735-3p,hsa-miR-6780a-3p,hsa-miR-6788-5p,hsa-miR-6795-3p,hsa-miR-6803-5p,hsa-miR-6813-5p	Blood osmolality measurement,Hypermetropia,Interleukin 13 measurement,Susceptibility to rubella infection measurement,Body fat distribution,Waist-hip ratio; Bmi-adjusted waist-hip ratio,Testosterone measurement,Mean corpuscular volume; Mean corpuscular hemoglobin; Red blood cell density measurement; Erythrocyte count,Mean corpuscular hemoglobin concentration,Body weight,Mean corpuscular volume,Mean reticulocyte volume; Reticulocyte count; Mean corpuscular volume; Reticulocyte measurement; Erythrocyte count,Mean corpuscular hemoglobin,Red blood cell distribution width,Erythrocyte count,Colorectal cancer; C-reactive protein measurement; Colorectal adenoma,Prostate carcinoma,-	ZCCHC24	PPIE
ENSG00000289201	ENSG00000289201	5.124170218	0.001619465	Normal vs Doxo_PDL1-pos	HSALNG0033343	integenic	Q90	hsa-miR-30b-3p,hsa-miR-3620-5p,hsa-miR-4505,hsa-miR-1587	-	DHX15	GCKR
ENSG00000278341	ENSG00000278341	-1.156500252	0.046879485	Normal vs Doxo_PDL1-pos	HSALNG0113533	anti_sense	Q50	NA	-,Feeling """"fed-up"""" measurement	RNF166	AK6
ENSG00000278642	ENSG00000278642	2.55589657	0.029106014	Normal vs Doxo_PDL1-pos	HSALNG0117672	anti_sense	Q50	hsa-miR-762,hsa-miR-1268b,hsa-miR-6132,hsa-miR-6779-5p,hsa-miR-6803-5p,hsa-miR-6812-3p	NA	DYNLL2	CEACAM6
ENSG00000227811	INKA2-AS1	1.09803717	0.049234689	Normal vs Doxo_PDL1-pos	HSALNG0006073	intronic_antisense	Q90	hsa-miR-939-3p,hsa-miR-3178	Body mass index,Multisite chronic pain,-	DDX20	GMCL1
ENSG00000261324	ENSG00000261324	2.152114758	9.61e-05	Normal vs Doxo_PDL1-pos	HSALNG0089518	integenic	Not conserved	NA	Body height,-	H4C16	FER1L4
ENSG00000233058	ATP13A3-DT	2.328160461	1.5e-06	Normal vs Doxo_PDL1-pos	HSALNG0031735	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-4294	Lean mass-adjusted fat body mass; Femoral neck bone mineral density,3-hydroxypropylmercapturic acid measurement,-	FAM43A	SLC4A11
ENSG00000244459	ENSG00000244459	1.70363093	0.002247485	Normal vs Doxo_PDL1-pos	HSALNG0032293	integenic	Q90	hsa-miR-6836-3p	-	FAM53A	KIF16B
ENSG00000286369	ENSG00000286369	3.901640193	0.00020165	Normal vs Doxo_PDL1-pos	HSALNG0085227	integenic	Not conserved	hsa-miR-619-5p,hsa-miR-4281,hsa-miR-3665,hsa-miR-4443,hsa-miR-4453,hsa-miR-5047,hsa-miR-6089,hsa-miR-6510-5p	Body height	LRP5	ZNF302
ENSG00000283175	ENSG00000283175	1.461537307	6.81e-06	Normal vs Doxo_PDL1-pos	HSALNG0031412	anti_sense	Q75	hsa-miR-6089	-	RTP4	ANKRD24
ENSG00000238266	LINC00707	-3.914778398	0.000172776	Normal vs Doxo_PDL1-pos	HSALNG0075974	integenic	Q50	hsa-miR-6839-3p,hsa-miR-8485	Response to tnf antagonist,Diet measurement,Fat body mass; Femoral neck bone mineral density; Lean mass-adjusted fat body mass; Hip bone mineral density,Body height,Covid-19; Pneumonia,Hip circumference; Psychosocial stress measurement,-	PFKFB3	ITGA6
ENSG00000251432	LINC02615	2.449468828	1.8e-05	Normal vs Doxo_PDL1-pos	HSALNG0037069	integenic	Q50	NA	NA	LARP1B	MYO15A
ENSG00000229400	CNIH3-AS1	4.323183399	0.024433451	Normal vs Doxo_PDL1-pos	HSALNG0010970	anti_sense	Q50	NA	Mortality,White matter microstructure measurement,-	WDR26	RPGRIP1
ENSG00000247240	UBL7-DT	-1.070751845	0.048327383	Normal vs Doxo_PDL1-pos	HSALNG0107191	integenic	Q50	hsa-miR-619-5p,hsa-miR-885-3p,hsa-miR-1227-5p,hsa-miR-6763-5p,hsa-miR-8072	Mean corpuscular volume,Caffeine metabolite measurement,Mosquito bite reaction size measurement; Mosquito bite reaction itch intensity measurement,-	ARID3B	SEMA6A
ENSG00000231607	DLEU2	-2.040227772	4.31e-05	Normal vs Doxo_PDL1-pos	HSALNG0097094	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-4483,hsa-miR-4649-5p,hsa-miR-6089,hsa-miR-6813-5p,hsa-miR-6826-3p	Bmi-adjusted waist-hip ratio,Heel bone mineral density,Lymphocyte percentage of leukocytes; Lymphocyte count,Body height,Creatinine measurement; Aspartate aminotransferase to alanine aminotransferase ratio,Diastolic blood pressure,Bmi-adjusted hip circumference,Bmi-adjusted hip circumference; Bmi-adjusted waist-hip ratio,Bmi-adjusted waist circumference; Bmi-adjusted waist-hip ratio,Lipoprotein a measurement,Sex hormone-binding globulin measurement,Sex hormone-binding globulin measurement; Glomerular filtration rate; Testosterone measurement; Body height; Triglyceride measurement,Lymphocyte count,Appendicular lean mass; Monocyte count,Body weight; Body mass index,Platelet-to-lymphocyte ratio,-	SPRYD7	WDR76
ENSG00000289883	ENSG00000289883	2.548397955	0.037161784	Normal vs Doxo_PDL1-pos	HSALNG0084898	integenic	Not conserved	NA	Bmi-adjusted hip circumference	LTBP3	BRPF3
ENSG00000231156	ENSG00000231156	5.199943308	0.000238166	Normal vs Doxo_PDL1-pos	HSALNG0014620	integenic	Not conserved	NA	NA	SIX2	ABL1
ENSG00000223745	CCDC18-AS1	1.480276844	0.001201183	Normal vs Doxo_PDL1-pos	HSALNG0005250	anti_sense	Q75	hsa-miR-619-5p,hsa-miR-4768-3p	Triglyceride measurement,Neutrophil percentage of granulocytes; Eosinophil count; Eosinophil percentage of granulocytes,Self reported educational attainment,Testosterone measurement,Mathematical ability,-	TMED5	CATSPERG
ENSG00000251679	ENSG00000251679	-4.330744922	0.021120991	Normal vs Doxo_PDL1-pos	HSALNG0033017	integenic	Not conserved	hsa-miR-6089	Ccl5 measurement,Gamma-aminoisobutyric acid measurement,-	CPEB2	HNRNPM
ENSG00000237943	PRKCQ-AS1	-4.239130603	1.36e-08	Normal vs Doxo_PDL1-pos	HSALNG0075966	integenic	Q50	hsa-miR-30b-3p,hsa-miR-891a-3p,hsa-miR-4632-3p,hsa-miR-6763-5p	Atopic asthma,Eosinophil count,Eczema; Respiratory system disease,Eosinophil percentage of leukocytes,Eczema; Allergic rhinitis,-	PFKFB3	HNRNPM
ENSG00000260077	ENSG00000260077	1.381954101	0.000269228	Normal vs Doxo_PDL1-pos	HSALNG0012948	anti_sense	Q50	hsa-miR-619-5p,hsa-miR-3183	Neuroticism measurement; Worry measurement,Mean corpuscular volume,Body height	CYS1	KLHL22
ENSG00000267121	FMNL1-DT	3.352923189	2.42e-05	Normal vs Doxo_PDL1-pos	HSALNG0116830	anti_sense	Q75	hsa-miR-30b-3p,hsa-miR-185-3p,hsa-miR-619-5p,hsa-miR-675-5p,hsa-miR-5589-5p,hsa-miR-6089,hsa-miR-6791-5p,hsa-miR-7108-3p,hsa-miR-8485	Body fat distribution,White matter microstructure measurement,Body height,Thyroid stimulating hormone measurement,Bmi-adjusted hip circumference,-	SPATA32	SRSF5
ENSG00000286223	ENSG00000286223	-2.86359975	0.043549658	Normal vs Doxo_PDL1-pos	HSALNG0146697	anti_sense	Q90	hsa-miR-619-5p	NA	SUMO1	PCNX1
ENSG00000267750	RUNDC3A-AS1	1.945362159	0.001387521	Normal vs Doxo_PDL1-pos	HSALNG0116718	anti_sense	Q90	hsa-miR-1268b,hsa-miR-4430,hsa-miR-4488,hsa-miR-6769b-5p,hsa-miR-1273h-5p	Platelet-to-lymphocyte ratio,Reticulocyte count; Mean reticulocyte volume; Reticulocyte measurement; Mean corpuscular volume,Eosinophil count,-	SLC25A39	NFATC4
ENSG00000251562	MALAT1	1.345666769	0.016505366	Normal vs Doxo_PDL1-pos	HSALNG0084905	integenic	Q90	hsa-miR-1224-3p,hsa-miR-4667-3p,hsa-miR-6817-5p,hsa-miR-6829-3p,hsa-miR-6832-3p	-	SCYL1	PABPC1L
ENSG00000267658	RAB5C-AS1	4.558696499	0.022447602	Normal vs Doxo_PDL1-pos	HSALNG0116490	anti_sense	Q90	hsa-miR-4707-5p,hsa-miR-2467-3p	-	HSPB9	PABPC1L
ENSG00000231028	AHI1-DT	2.168607767	0.049483505	Normal vs Doxo_PDL1-pos	HSALNG0053684	integenic	Q50	hsa-miR-6773-3p	-	PDE7B	MRGBP
ENSG00000176349	ENSG00000176349	-1.997968982	0.001357824	Normal vs Doxo_PDL1-pos	NA	NA	NA	NA	NA	ELFN1	CDC25B
ENSG00000203999	LINC01270	1.276318359	0.001890716	Normal vs Doxo_PDL1-pos	HSALNG0130755	integenic	Not conserved	NA	NA	CEBPB	RPRD1B
ENSG00000224397	PELATON	2.128964769	0.000175805	Normal vs Doxo_PDL1-pos	HSALNG0130749	integenic	Q50	hsa-miR-619-5p,hsa-miR-665,hsa-miR-4258,hsa-miR-4284,hsa-miR-4491,hsa-miR-4701-3p,hsa-miR-4733-3p,hsa-miR-6090,hsa-miR-6132,hsa-miR-6748-3p,hsa-miR-6769b-5p,hsa-miR-6887-3p	Hair colour measurement,Monocyte percentage of leukocytes; Mammographic density measurement; Monocyte count,Granulocyte percentage of myeloid white cells; Monocyte count,Gut microbiome measurement,Monocyte percentage of leukocytes,Monocyte count,-	CEBPB	ST8SIA5
ENSG00000257167	TMPO-AS1	-2.506566429	2.61e-05	Normal vs Doxo_PDL1-pos	HSALNG0093383	anti_sense	Q90	hsa-miR-762,hsa-miR-877-5p,hsa-miR-3960	-	IKBIP	SUV39H1
ENSG00000272468	ENSG00000272468	2.260600024	0.000517282	Normal vs Doxo_PDL1-pos	HSALNG0048836	integenic	Not conserved	NA	NA	H2BC11	PCSK1N
ENSG00000271614	ATP2B1-AS1	1.917067942	1.96e-08	Normal vs Doxo_PDL1-pos	HSALNG0092957	anti_sense	Q90	hsa-miR-619-5p,hsa-miR-4787-5p,hsa-miR-6749-3p,hsa-miR-6797-5p,hsa-miR-8485	Diastolic blood pressure,Risk-taking behaviour,Pulse pressure measurement; Mean arterial pressure; Alcohol drinking; Systolic blood pressure; Agents acting on the renin-angiotensin system use measurement,Hair colour measurement,Prostate carcinoma,Calcium measurement,Heel bone mineral density,Age at onset,Body mass index,Body height; Body mass index,Coronary artery disease,Body height,Chronotype measurement,Mean corpuscular volume,Magnesium measurement,Spine bone mineral density,Febrile seizure (within the age range of 3 months to 6 years); Mmr-related febrile seizures,Volumetric bone mineral density,Bone density,Heart rate,Biological sex,Systolic blood pressure,Creatinine measurement,C-reactive protein measurement,Pulse pressure measurement; Systolic blood pressure,Optic disc size measurement,Chronotype measurement; Heel bone mineral density,Diffusing capacity of the lung for carbon monoxide,Osteoarthritis, hip, osteoarthritis, knee,Diastolic blood pressure; Alcohol consumption measurement,Response to citalopram; Response to escitalopram; Triglyceride measurement,Ischemic stroke; Coronary artery disease,Diastolic blood pressure; Smoking status measurement; Systolic blood pressure,Body fat percentage,-	TMTC3	LONP2
ENSG00000278156	TSC22D1-AS1	2.048126216	0.00639028	Normal vs Doxo_PDL1-pos	HSALNG0143832	anti_sense	Q90	hsa-miR-6858-5p	-	SERP2	NME3
ENSG00000272582	ENSG00000272582	1.804722723	0.008004085	Normal vs Doxo_PDL1-pos	HSALNG0135368	anti_sense	Q75	NA	-	POLR2F	MON1B
ENSG00000286416	ENSG00000286416	2.12513661	0.019245112	Normal vs Doxo_PDL1-pos	HSALNG0098797	integenic	Q50	NA	-	OXGR1	RPGRIP1L
ENSG00000290644	ENSG00000290644	1.716291035	0.000160039	Normal vs Doxo_PDL1-pos	HSALNG0072753	integenic	Not conserved	hsa-miR-3178,hsa-miR-4505,hsa-miR-6514-3p	-	CENPP	DTWD1
ENSG00000204054	LINC00963	1.26096291	3.34e-12	Normal vs Doxo_PDL1-pos	HSALNG0074742	integenic	Q75	hsa-miR-30b-3p,hsa-miR-619-5p,hsa-miR-1268b,hsa-miR-378g,hsa-miR-4686,hsa-miR-2467-5p,hsa-miR-5088-5p,hsa-miR-6089,hsa-miR-6742-5p,hsa-miR-6803-5p	Body height,-	NTMT1	DTWD1
ENSG00000273486	ENSG00000273486	1.914665928	0.0068035	Normal vs Doxo_PDL1-pos	HSALNG0029189	anti_sense	Q90	hsa-miR-23a-5p,hsa-miR-135a-3p,hsa-miR-619-5p,hsa-miR-1268b,hsa-miR-4447,hsa-miR-3960,hsa-miR-6089	Lymphocyte count,Body mass index,-	STAG1	FZD3
ENSG00000254614	CAPN1-AS1	-1.03904907	0.020677053	Normal vs Doxo_PDL1-pos	HSALNG0084866	anti_sense	Not conserved	hsa-miR-4505,hsa-miR-5787	Bmi-adjusted hip circumference,-	SYVN1	UBE2W
ENSG00000229953	BCAN-AS2	5.080152852	0.001057424	Normal vs Doxo_PDL1-pos	HSALNG0007612	anti_sense	Q75	hsa-miR-4722-5p,hsa-miR-6511a-3p	Blood protein measurement,-	NES	ANXA13
ENSG00000276107	THBS1-IT1	1.167457604	2.93e-07	Normal vs Doxo_PDL1-pos	HSALNG0105171	sense	Not conserved	NA	NA	THBS1	NUCB1
ENSG00000270820	USP34-DT	1.019369827	0.01867215	Normal vs Doxo_PDL1-pos	HSALNG0015310	anti_sense	Q90	hsa-miR-4472,hsa-miR-4651,hsa-miR-4667-3p,hsa-miR-6089,hsa-miR-7108-3p,hsa-miR-7515	Systolic blood pressure,Neutrophil count; Myeloid white cell count; Leukocyte count; Eosinophil count; Granulocyte count,Neutrophil count,-	C2orf74	ZNF419
ENSG00000276308	ENSG00000276308	2.628236394	0.003376849	Normal vs Doxo_PDL1-pos	HSALNG0094269	integenic	Not conserved	hsa-miR-6803-5p	NA	TBX3	SLC1A6
ENSG00000247157	LINC01252	3.844040628	8.06e-09	Normal vs Doxo_PDL1-pos	HSALNG0089327	integenic	Q75	NA	Lean body mass; Bone measurement; Fat body mass,-	ETV6	EBI3
ENSG00000227210	WDR35-DT	2.930271858	0.045021827	Normal vs Doxo_PDL1-pos	HSALNG0013396	anti_sense	Q75	hsa-miR-6803-5p	-	RHOB	COMP
ENSG00000226686	LINC01535	1.686993902	0.000788821	Normal vs Doxo_PDL1-pos	HSALNG0125829	anti_sense,sense	Not conserved	hsa-miR-3197,hsa-miR-4292,hsa-miR-4492,hsa-miR-1587,hsa-miR-6089,hsa-miR-6763-5p	Coronary artery calcification,Bmi-adjusted waist-hip ratio,Smoking status measurement,Susceptibility to mycobacterium tuberculosis infection measurement,Body height,Hemoglobin measurement,Systolic blood pressure,-	ZNF383	ZNF862
ENSG00000226992	ENSG00000226992	1.385359031	0.046291342	Normal vs Doxo_PDL1-pos	HSALNG0023467	integenic	Not conserved	hsa-miR-199a-5p,hsa-miR-199b-5p	Alopecia; Balding measurement; Androgenetic alopecia; Hair colour measurement; Skin aging measurement	HDAC4	MRPL32
