"Ensembl_ID" "Gene_symbol" "Biotype" "Comparison" "logFC" "FDR"
"ENSG00000165985" "C1QL3" "Protein_Coding" "Normal vs Doxo-treated" 10.76940951 3.08e-07
"ENSG00000273802" "H2BC8" "Protein_Coding" "Normal vs Doxo-treated" 4.882318104 3.98e-07
"ENSG00000168394" "TAP1" "Protein_Coding" "Normal vs Doxo-treated" 3.057534119 5.53e-07
"ENSG00000277075" "H2AC8" "Protein_Coding" "Normal vs Doxo-treated" 5.275471115 5.89e-07
"ENSG00000104892" "KLC3" "Protein_Coding" "Normal vs Doxo-treated" 8.55662033 6.22e-07
"ENSG00000171246" "NPTX1" "Protein_Coding" "Normal vs Doxo-treated" 5.564174524 6.29e-07
"ENSG00000229021" "ENSG00000229021" "lncRNA" "Normal vs Doxo-treated" 10.53909207 6.3e-07
"ENSG00000087085" "ACHE" "Protein_Coding" "Normal vs Doxo-treated" 4.918557687 7.62e-07
"ENSG00000119630" "PGF" "Protein_Coding" "Normal vs Doxo-treated" 4.940972952 7.78e-07
"ENSG00000121690" "DEPDC7" "Protein_Coding" "Normal vs Doxo-treated" 3.577730935 9.23e-07
"ENSG00000214513" "NOTO" "Protein_Coding" "Normal vs Doxo-treated" 8.361228097 1.07e-06
"ENSG00000160606" "TLCD1" "Protein_Coding" "Normal vs Doxo-treated" 3.299839107 1.25e-06
"ENSG00000285244" "DINOL" "lncRNA" "Normal vs Doxo-treated" 9.030388452 1.27e-06
"ENSG00000224592" "MIR3659HG" "lncRNA" "Normal vs Doxo-treated" 10.39691261 1.48e-06
"ENSG00000286034" "ENSG00000286034" "lncRNA" "Normal vs Doxo-treated" 6.540442617 1.5e-06
"ENSG00000151468" "CCDC3" "Protein_Coding" "Normal vs Doxo-treated" 5.878839558 1.67e-06
"ENSG00000189275" "LINC01164" "lncRNA" "Normal vs Doxo-treated" 10.38996206 1.81e-06
"ENSG00000144452" "ABCA12" "Protein_Coding" "Normal vs Doxo-treated" 8.867476732 1.88e-06
"ENSG00000188916" "INSYN2A" "Protein_Coding" "Normal vs Doxo-treated" 5.800144754 2.34e-06
"ENSG00000172831" "CES2" "Protein_Coding" "Normal vs Doxo-treated" 3.203753312 4.7e-06
"ENSG00000168748" "CA7" "Protein_Coding" "Normal vs Doxo-treated" 9.943176384 4.78e-06
"ENSG00000115129" "TP53I3" "Protein_Coding" "Normal vs Doxo-treated" 3.6988414 5.66e-06
"ENSG00000177076" "ACER2" "Protein_Coding" "Normal vs Doxo-treated" 3.686364291 5.66e-06
"ENSG00000258602" "LINC01629" "lncRNA" "Normal vs Doxo-treated" 9.97717935 7.38e-06
"ENSG00000173846" "PLK3" "Protein_Coding" "Normal vs Doxo-treated" 2.726316888 7.99e-06
"ENSG00000226935" "LINC00161" "lncRNA" "Normal vs Doxo-treated" 8.032464595 9.74e-06
"ENSG00000277287" "ENSG00000277287" "lncRNA" "Normal vs Doxo-treated" 5.20991503 1.32e-05
"ENSG00000240891" "PLCXD2" "Protein_Coding" "Normal vs Doxo-treated" 3.86609056 1.4e-05
"ENSG00000144339" "TMEFF2" "Protein_Coding" "Normal vs Doxo-treated" 6.207955096 1.5e-05
"ENSG00000111981" "ULBP1" "Protein_Coding" "Normal vs Doxo-treated" 5.249184293 1.69e-05
"ENSG00000229544" "NKX1-2" "Protein_Coding" "Normal vs Doxo-treated" 9.383332849 1.84e-05
"ENSG00000105327" "BBC3" "Protein_Coding" "Normal vs Doxo-treated" 2.799677464 2.05e-05
"ENSG00000132646" "PCNA" "Protein_Coding" "Normal vs Doxo-treated" 3.093114218 2.22e-05
"ENSG00000260912" "ENSG00000260912" "lncRNA" "Normal vs Doxo-treated" 3.781534217 2.48e-05
"ENSG00000142619" "PADI3" "Protein_Coding" "Normal vs Doxo-treated" 8.686366876 2.53e-05
"ENSG00000151131" "NOPCHAP1" "Protein_Coding" "Normal vs Doxo-treated" 3.122038736 3.34e-05
"ENSG00000266680" "ENSG00000266680" "lncRNA" "Normal vs Doxo-treated" 3.615935571 3.4e-05
"ENSG00000235010" "JAKMIP3-AS1" "lncRNA" "Normal vs Doxo-treated" 10.6194714 3.7e-05
"ENSG00000184678" "H2BC21" "Protein_Coding" "Normal vs Doxo-treated" 2.803860434 3.71e-05
"ENSG00000152137" "HSPB8" "Protein_Coding" "Normal vs Doxo-treated" 2.825184997 3.8e-05
"ENSG00000121039" "RDH10" "Protein_Coding" "Normal vs Doxo-treated" 2.640562995 4.07e-05
"ENSG00000134574" "DDB2" "Protein_Coding" "Normal vs Doxo-treated" 2.769535754 4.15e-05
"ENSG00000274180" "NATD1" "Protein_Coding" "Normal vs Doxo-treated" 2.675000499 4.28e-05
"ENSG00000184486" "POU3F2" "Protein_Coding" "Normal vs Doxo-treated" 7.544325733 4.64e-05
"ENSG00000164778" "EN2" "Protein_Coding" "Normal vs Doxo-treated" 6.815201911 4.79e-05
"ENSG00000126861" "OMG" "Protein_Coding" "Normal vs Doxo-treated" 10.20051911 5.95e-05
"ENSG00000289426" "ENSG00000289426" "lncRNA" "Normal vs Doxo-treated" 8.052369788 6.3e-05
"ENSG00000171469" "ZNF561" "Protein_Coding" "Normal vs Doxo-treated" 2.608702963 6.56e-05
"ENSG00000156574" "NODAL" "Protein_Coding" "Normal vs Doxo-treated" 9.156401152 7e-05
"ENSG00000137975" "CLCA2" "Protein_Coding" "Normal vs Doxo-treated" 6.705709821 7.33e-05
"ENSG00000205592" "MUC19" "Protein_Coding" "Normal vs Doxo-treated" 9.980634669 7.33e-05
"ENSG00000187714" "SLC18A3" "Protein_Coding" "Normal vs Doxo-treated" 5.44635154 7.59e-05
"ENSG00000138622" "HCN4" "Protein_Coding" "Normal vs Doxo-treated" 6.400475224 7.61e-05
"ENSG00000226005" "LINC02660" "lncRNA" "Normal vs Doxo-treated" 9.706444832 7.61e-05
"ENSG00000168061" "SAC3D1" "Protein_Coding" "Normal vs Doxo-treated" 2.83182128 8.42e-05
"ENSG00000136378" "ADAMTS7" "Protein_Coding" "Normal vs Doxo-treated" 2.51317338 8.6e-05
"ENSG00000119121" "TRPM6" "Protein_Coding" "Normal vs Doxo-treated" 8.836636708 8.64e-05
"ENSG00000272081" "FCHO2-DT" "lncRNA" "Normal vs Doxo-treated" 6.033567945 9.43e-05
"ENSG00000119986" "AVPI1" "Protein_Coding" "Normal vs Doxo-treated" 3.049802086 0.000110978
"ENSG00000010030" "ETV7" "Protein_Coding" "Normal vs Doxo-treated" 6.447064684 0.000112983
"ENSG00000174460" "ZCCHC12" "Protein_Coding" "Normal vs Doxo-treated" 8.119968525 0.000118084
"ENSG00000162892" "IL24" "Protein_Coding" "Normal vs Doxo-treated" 6.788501555 0.000118782
"ENSG00000197093" "GAL3ST4" "Protein_Coding" "Normal vs Doxo-treated" 3.944068087 0.000129443
"ENSG00000041515" "MYO16" "Protein_Coding" "Normal vs Doxo-treated" 8.544584646 0.000134384
"ENSG00000230109" "LINC02643" "lncRNA" "Normal vs Doxo-treated" 8.82074778 0.000142597
"ENSG00000080644" "CHRNA3" "Protein_Coding" "Normal vs Doxo-treated" 8.50959239 0.000143162
"ENSG00000103742" "IGDCC4" "Protein_Coding" "Normal vs Doxo-treated" 5.403451105 0.000143162
"ENSG00000176890" "TYMS" "Protein_Coding" "Normal vs Doxo-treated" 2.58307546 0.000143162
"ENSG00000278041" "ENSG00000278041" "lncRNA" "Normal vs Doxo-treated" 7.096924565 0.000146376
"ENSG00000189120" "SP6" "Protein_Coding" "Normal vs Doxo-treated" 6.112916335 0.000147861
"ENSG00000100290" "BIK" "Protein_Coding" "Normal vs Doxo-treated" 8.819460045 0.00015098
"ENSG00000168497" "CAVIN2" "Protein_Coding" "Normal vs Doxo-treated" 2.375551741 0.000167608
"ENSG00000183114" "FAM43B" "Protein_Coding" "Normal vs Doxo-treated" 4.610475273 0.000168313
"ENSG00000124635" "H2BC11" "Protein_Coding" "Normal vs Doxo-treated" 3.34869801 0.000175961
"ENSG00000114656" "CFAP92" "Protein_Coding" "Normal vs Doxo-treated" 7.010103718 0.000178797
"ENSG00000131864" "USP29" "Protein_Coding" "Normal vs Doxo-treated" 9.405782265 0.000178797
"ENSG00000159388" "BTG2" "Protein_Coding" "Normal vs Doxo-treated" 3.132812211 0.000181025
"ENSG00000083812" "ZNF324" "Protein_Coding" "Normal vs Doxo-treated" 2.720225521 0.000182903
"ENSG00000236908" "LINC02827" "lncRNA" "Normal vs Doxo-treated" 8.55103963 0.000182903
"ENSG00000285911" "ENSG00000285911" "lncRNA" "Normal vs Doxo-treated" 8.38226226 0.000190488
"ENSG00000182704" "TSKU" "Protein_Coding" "Normal vs Doxo-treated" 2.493880982 0.00019176
"ENSG00000140511" "HAPLN3" "Protein_Coding" "Normal vs Doxo-treated" 3.6396189 0.000193647
"ENSG00000272157" "ENSG00000272157" "lncRNA" "Normal vs Doxo-treated" 8.426509904 0.000200278
"ENSG00000204103" "MAFB" "Protein_Coding" "Normal vs Doxo-treated" 4.055185117 0.000206362
"ENSG00000182759" "MAFA" "Protein_Coding" "Normal vs Doxo-treated" 5.281449204 0.000217455
"ENSG00000272841" "MAP3K4-AS1" "lncRNA" "Normal vs Doxo-treated" 4.242250608 0.000218503
"ENSG00000175197" "DDIT3" "Protein_Coding" "Normal vs Doxo-treated" 2.410492839 0.000228309
"ENSG00000162552" "WNT4" "Protein_Coding" "Normal vs Doxo-treated" 6.571884464 0.000229956
"ENSG00000175556" "LONRF3" "Protein_Coding" "Normal vs Doxo-treated" 6.790378163 0.000229956
"ENSG00000277586" "NEFL" "Protein_Coding" "Normal vs Doxo-treated" 6.982324035 0.000236252
"ENSG00000175868" "CALCB" "Protein_Coding" "Normal vs Doxo-treated" 6.557668255 0.000246612
"ENSG00000162643" "DNAI3" "Protein_Coding" "Normal vs Doxo-treated" 4.824324296 0.000248237
"ENSG00000105650" "PDE4C" "Protein_Coding" "Normal vs Doxo-treated" 6.491388392 0.000279379
"ENSG00000226887" "ERVMER34-1" "Protein_Coding" "Normal vs Doxo-treated" 7.000049259 0.000280138
"ENSG00000203697" "CAPN8" "Protein_Coding" "Normal vs Doxo-treated" 8.438206315 0.000280995
"ENSG00000250041" "ENSG00000250041" "lncRNA" "Normal vs Doxo-treated" 7.449970504 0.000280995
"ENSG00000143816" "WNT9A" "Protein_Coding" "Normal vs Doxo-treated" 3.879431806 0.000292272
"ENSG00000169297" "NR0B1" "Protein_Coding" "Normal vs Doxo-treated" 6.565042809 0.000294665
"ENSG00000227748" "ENSG00000227748" "lncRNA" "Normal vs Doxo-treated" 5.927673078 0.000294665
"ENSG00000112183" "RBM24" "Protein_Coding" "Normal vs Doxo-treated" 7.010940807 0.000299941
"ENSG00000133101" "CCNA1" "Protein_Coding" "Normal vs Doxo-treated" 3.087848086 0.000299941
"ENSG00000183273" "CCDC60" "Protein_Coding" "Normal vs Doxo-treated" 8.851578765 0.000307442
"ENSG00000253438" "PCAT1" "lncRNA" "Normal vs Doxo-treated" 8.325786091 0.000311893
"ENSG00000182687" "GALR2" "Protein_Coding" "Normal vs Doxo-treated" 5.53502406 0.000318742
"ENSG00000111674" "ENO2" "Protein_Coding" "Normal vs Doxo-treated" -2.446309606 0.000331646
"ENSG00000142609" "CFAP74" "Protein_Coding" "Normal vs Doxo-treated" 10.93020844 0.000331646
"ENSG00000180155" "LYNX1" "Protein_Coding" "Normal vs Doxo-treated" 3.284130019 0.000338996
"ENSG00000134917" "ADAMTS8" "Protein_Coding" "Normal vs Doxo-treated" 8.466897289 0.000343191
"ENSG00000103056" "SMPD3" "Protein_Coding" "Normal vs Doxo-treated" 6.661963321 0.000359716
"ENSG00000123243" "ITIH5" "Protein_Coding" "Normal vs Doxo-treated" 8.278478743 0.000360885
"ENSG00000173068" "BNC2" "Protein_Coding" "Normal vs Doxo-treated" -2.782158353 0.00038149
"ENSG00000133812" "SBF2" "Protein_Coding" "Normal vs Doxo-treated" -2.530287618 0.000386015
"ENSG00000164294" "GPX8" "Protein_Coding" "Normal vs Doxo-treated" -2.370985784 0.000393208
"ENSG00000291189" "ENSG00000291189" "lncRNA" "Normal vs Doxo-treated" 6.055723444 0.000396606
"ENSG00000081181" "ARG2" "Protein_Coding" "Normal vs Doxo-treated" 3.164934124 0.000418337
"ENSG00000166145" "SPINT1" "Protein_Coding" "Normal vs Doxo-treated" 3.897358119 0.000429569
"ENSG00000132549" "VPS13B" "Protein_Coding" "Normal vs Doxo-treated" -2.445935728 0.000462948
"ENSG00000184434" "LRRC19" "Protein_Coding" "Normal vs Doxo-treated" 8.025146279 0.000462948
"ENSG00000196517" "SLC6A9" "Protein_Coding" "Normal vs Doxo-treated" 2.428694507 0.000466623
"ENSG00000196092" "PAX5" "Protein_Coding" "Normal vs Doxo-treated" 7.911193157 0.000480382
"ENSG00000196734" "LCE1B" "Protein_Coding" "Normal vs Doxo-treated" 9.384648087 0.000480565
"ENSG00000132517" "SLC52A1" "Protein_Coding" "Normal vs Doxo-treated" 9.197120256 0.000500088
"ENSG00000142627" "EPHA2" "Protein_Coding" "Normal vs Doxo-treated" 2.572174544 0.000515241
"ENSG00000271926" "ENSG00000271926" "lncRNA" "Normal vs Doxo-treated" 5.443861263 0.000534414
"ENSG00000289501" "ENSG00000289501" "lncRNA" "Normal vs Doxo-treated" 8.370367309 0.000539725
"ENSG00000152642" "GPD1L" "Protein_Coding" "Normal vs Doxo-treated" 2.393842112 0.000560136
"ENSG00000187140" "FOXD3" "Protein_Coding" "Normal vs Doxo-treated" 6.224999679 0.000563743
"ENSG00000187091" "PLCD1" "Protein_Coding" "Normal vs Doxo-treated" 2.198197142 0.00057963
"ENSG00000115525" "ST3GAL5" "Protein_Coding" "Normal vs Doxo-treated" -2.227045827 0.00058326
"ENSG00000143921" "ABCG8" "Protein_Coding" "Normal vs Doxo-treated" 8.069819368 0.000603654
"ENSG00000110375" "UPK2" "Protein_Coding" "Normal vs Doxo-treated" 5.75231223 0.000613555
"ENSG00000121075" "TBX4" "Protein_Coding" "Normal vs Doxo-treated" 7.790411462 0.000613555
"ENSG00000251095" "ENSG00000251095" "lncRNA" "Normal vs Doxo-treated" 5.339847491 0.000613555
"ENSG00000164070" "HSPA4L" "Protein_Coding" "Normal vs Doxo-treated" 2.406496694 0.000645245
"ENSG00000287555" "ENSG00000287555" "lncRNA" "Normal vs Doxo-treated" 7.866818666 0.000645245
"ENSG00000248243" "LINC02014" "lncRNA" "Normal vs Doxo-treated" 8.561125102 0.000650056
"ENSG00000081237" "PTPRC" "Protein_Coding" "Normal vs Doxo-treated" 8.070634055 0.000650424
"ENSG00000171234" "UGT2B7" "Protein_Coding" "Normal vs Doxo-treated" 9.468001522 0.000662762
"ENSG00000090534" "THPO" "Protein_Coding" "Normal vs Doxo-treated" 7.805084449 0.000680792
"ENSG00000244509" "APOBEC3C" "Protein_Coding" "Normal vs Doxo-treated" 2.430580042 0.000684444
"ENSG00000257953" "ENSG00000257953" "lncRNA" "Normal vs Doxo-treated" 5.522128436 0.000684444
"ENSG00000124440" "HIF3A" "Protein_Coding" "Normal vs Doxo-treated" -4.114207722 0.00072617
"ENSG00000177551" "NHLH2" "Protein_Coding" "Normal vs Doxo-treated" 7.345311325 0.000733667
"ENSG00000179630" "LACC1" "Protein_Coding" "Normal vs Doxo-treated" 2.336899528 0.000733667
"ENSG00000291144" "ENSG00000291144" "lncRNA" "Normal vs Doxo-treated" 7.684952937 0.000733667
"ENSG00000148584" "A1CF" "Protein_Coding" "Normal vs Doxo-treated" 7.707814366 0.000744079
"ENSG00000145040" "UCN2" "Protein_Coding" "Normal vs Doxo-treated" 5.134237884 0.000745316
"ENSG00000147536" "GINS4" "Protein_Coding" "Normal vs Doxo-treated" 2.754835269 0.000745316
"ENSG00000178726" "THBD" "Protein_Coding" "Normal vs Doxo-treated" 2.603599378 0.000745316
"ENSG00000198948" "MFAP3L" "Protein_Coding" "Normal vs Doxo-treated" 3.397530761 0.000755883
"ENSG00000244649" "LINC02086" "lncRNA" "Normal vs Doxo-treated" 6.353755084 0.000801633
"ENSG00000144285" "SCN1A" "Protein_Coding" "Normal vs Doxo-treated" 7.577708013 0.000856433
"ENSG00000234432" "LINC02983" "lncRNA" "Normal vs Doxo-treated" 5.104154139 0.000856433
"ENSG00000287712" "ENSG00000287712" "lncRNA" "Normal vs Doxo-treated" 6.194914601 0.000856433
"ENSG00000102539" "MLNR" "Protein_Coding" "Normal vs Doxo-treated" 8.697764332 0.000857711
"ENSG00000123700" "KCNJ2" "Protein_Coding" "Normal vs Doxo-treated" 5.247131894 0.000867393
"ENSG00000187837" "H1-2" "Protein_Coding" "Normal vs Doxo-treated" 2.341119911 0.000867393
"ENSG00000001626" "CFTR" "Protein_Coding" "Normal vs Doxo-treated" 7.54603015 0.000870166
"ENSG00000132205" "EMILIN2" "Protein_Coding" "Normal vs Doxo-treated" 3.528155001 0.000880342
"ENSG00000261618" "LINC02605" "lncRNA" "Normal vs Doxo-treated" 7.753368057 0.000880342
"ENSG00000257839" "PHLDA1-DT" "lncRNA" "Normal vs Doxo-treated" 6.378079077 0.000900617
"ENSG00000286048" "ENSG00000286048" "lncRNA" "Normal vs Doxo-treated" 5.325530132 0.00090444
"ENSG00000236581" "STARD13-AS" "lncRNA" "Normal vs Doxo-treated" 7.492630191 0.000906743
"ENSG00000165891" "E2F7" "Protein_Coding" "Normal vs Doxo-treated" 3.232862398 0.000931759
"ENSG00000175352" "NRIP3" "Protein_Coding" "Normal vs Doxo-treated" 2.872160951 0.000939017
"ENSG00000198074" "AKR1B10" "Protein_Coding" "Normal vs Doxo-treated" 3.88083066 0.000939017
"ENSG00000164283" "ESM1" "Protein_Coding" "Normal vs Doxo-treated" 4.206232897 0.000957072
"ENSG00000232892" "RGS5-AS1" "lncRNA" "Normal vs Doxo-treated" 7.540532682 0.000964513
"ENSG00000152192" "POU4F1" "Protein_Coding" "Normal vs Doxo-treated" 6.830454637 0.000979152
"ENSG00000288787" "ENSG00000288787" "lncRNA" "Normal vs Doxo-treated" 8.157818684 0.000979152
"ENSG00000186994" "KANK3" "Protein_Coding" "Normal vs Doxo-treated" 4.895628649 0.000999451
"ENSG00000255717" "SNHG1" "lncRNA" "Normal vs Doxo-treated" 2.182532724 0.00101233
"ENSG00000235885" "LINC01828" "lncRNA" "Normal vs Doxo-treated" 5.784130045 0.001033389
"ENSG00000090539" "CHRD" "Protein_Coding" "Normal vs Doxo-treated" 4.89250106 0.001036491
"ENSG00000277196" "PRODH" "Protein_Coding" "Normal vs Doxo-treated" 8.356871389 0.001036491
"ENSG00000183784" "DOCK8-AS1" "lncRNA" "Normal vs Doxo-treated" 6.575402157 0.001039376
"ENSG00000109163" "GNRHR" "Protein_Coding" "Normal vs Doxo-treated" 7.455990114 0.001044493
"ENSG00000224116" "INHBA-AS1" "lncRNA" "Normal vs Doxo-treated" 7.510291036 0.001046665
"ENSG00000224666" "ETV7-AS1" "lncRNA" "Normal vs Doxo-treated" 7.451356147 0.001080622
"ENSG00000277363" "SRCIN1" "Protein_Coding" "Normal vs Doxo-treated" 5.212330005 0.001087413
"ENSG00000188641" "DPYD" "Protein_Coding" "Normal vs Doxo-treated" -2.304335288 0.001152755
"ENSG00000187013" "LINC02875" "lncRNA" "Normal vs Doxo-treated" 5.417355955 0.001176109
"ENSG00000223573" "TINCR" "Protein_Coding" "Normal vs Doxo-treated" 4.58042306 0.001190413
"ENSG00000184602" "SNN" "Protein_Coding" "Normal vs Doxo-treated" 2.315244333 0.001197637
"ENSG00000248429" "GASK1B-AS1" "lncRNA" "Normal vs Doxo-treated" 3.988874265 0.001197637
"ENSG00000171540" "OTP" "Protein_Coding" "Normal vs Doxo-treated" 7.417983726 0.001212731
"ENSG00000102554" "KLF5" "Protein_Coding" "Normal vs Doxo-treated" 2.392493621 0.001217805
"ENSG00000178184" "PARD6G" "Protein_Coding" "Normal vs Doxo-treated" 3.294331767 0.001217805
"ENSG00000029534" "ANK1" "Protein_Coding" "Normal vs Doxo-treated" 4.449444824 0.001218121
"ENSG00000030304" "MUSK" "Protein_Coding" "Normal vs Doxo-treated" 5.71251493 0.001218121
"ENSG00000124657" "OR2B6" "Protein_Coding" "Normal vs Doxo-treated" 5.781139395 0.001218121
"ENSG00000145012" "LPP" "Protein_Coding" "Normal vs Doxo-treated" -2.380548215 0.001218121
"ENSG00000231394" "ENSG00000231394" "lncRNA" "Normal vs Doxo-treated" 7.460641416 0.001218121
"ENSG00000262179" "MYMX" "Protein_Coding" "Normal vs Doxo-treated" 6.899354461 0.001218121
"ENSG00000288956" "ENSG00000288956" "lncRNA" "Normal vs Doxo-treated" 6.091112369 0.001218121
"ENSG00000039068" "CDH1" "Protein_Coding" "Normal vs Doxo-treated" 7.428623945 0.001223201
"ENSG00000198854" "C1orf68" "Protein_Coding" "Normal vs Doxo-treated" 8.579424631 0.001227903
"ENSG00000156486" "KCNS2" "Protein_Coding" "Normal vs Doxo-treated" 5.704735791 0.001244773
"ENSG00000102387" "TAF7L" "Protein_Coding" "Normal vs Doxo-treated" 4.886673361 0.001247746
"ENSG00000112773" "TENT5A" "Protein_Coding" "Normal vs Doxo-treated" 2.323375973 0.001247746
"ENSG00000163071" "SPATA18" "Protein_Coding" "Normal vs Doxo-treated" 2.418188715 0.001247746
"ENSG00000265763" "ZNF488" "Protein_Coding" "Normal vs Doxo-treated" 5.534148518 0.001247746
"ENSG00000279182" "ENSG00000279182" "lncRNA" "Normal vs Doxo-treated" 7.59162851 0.001247746
"ENSG00000173404" "INSM1" "Protein_Coding" "Normal vs Doxo-treated" 8.602747853 0.001304712
"ENSG00000248996" "PDLIM7-AS1" "lncRNA" "Normal vs Doxo-treated" 7.976509744 0.001315824
"ENSG00000196787" "H2AC11" "Protein_Coding" "Normal vs Doxo-treated" 4.014158729 0.001318304
"ENSG00000268812" "LIF-AS2" "lncRNA" "Normal vs Doxo-treated" 6.073528836 0.001354919
"ENSG00000182366" "FAM87A" "lncRNA" "Normal vs Doxo-treated" 7.28790535 0.001362991
"ENSG00000100298" "APOBEC3H" "Protein_Coding" "Normal vs Doxo-treated" 6.533987185 0.001388718
